English,Descrtiption
venture,"Начинание, педприятие, рискованное предпр-тие"
peripheral,"Периферия, периферический"
genuine,"Подлинный, реальный"
inevitable,"Неизбежно, неминуемо"
makeshift,"Временный, самодельный, импровизированный"
whereas,"Тогда как (грешно, тогда как это…)"
sinful,грешный
distinctive,"Отличительный, характерный, особый"
dormant,"Бездействующий, скрытый, спящий"
pursuing,"Достижение (цели), реализация"
frenzy,Неистовство
susceptible,"Восприимчивый, чуткий"
auxiliary,"Вспомогательный, дополнительный"
Desire (-d),Желание (желанный)
aid,"Поддержка, помощник, помогать, "
preserve,"Сохранение, поддержание"
virtue,"Добродетель, достоинство"
merely,"Просто, лишь, только"
abacus,Счеты
Contribute (-d),"Способствовать, (Способствующий)"
bogus,"Фальшивый, поддельный, фиктивный"
Encompass (-ing),"Охватывать (охватывающий), включать"
endeavor,"Прорыв, начинение, порываться"
exhilaration,"Взволнованность, оживление, ликование"
conscientious,"Истинный, настоящий, добросовестный"
awe-inspiring,"Впечатляюще, захватывающе, вдохновляюще"
reap,Пожинать
abuse,злоупотреблять
proverbial,"Общеизвестный, пресловутый"
counterfeit,"Подделка, поддельный, контрафактный"
unscrupulous,"беспринципный,недобросовестный,бессовестный"
perpetrate,Совершать
precocious,"Не погодам развитый, ранний, скороспелый"
Fraud  (-ulent),Мошенничество (мошеннический)
embezzler,"Аферист, расхетитель, мошенник"
brazen,"Наглый, дерзкий, бесстыдный"
prosecute,"Привлечь к ответственности, преследовать"
severance,"Разрыв, отступные (деньги), выходное пособие"
boast,"Похвастаться, хвастаться"
credentials,"Полномочия, учетные данные"
prohibit,"Запрещать, препятствовать"
validate,утвердить
fulfilled,Выполнен
Outro,Концовка
contemporary,Современный
confess,Признаться
bolted,сбежал
subsequently,"Впоследствии, потом, после"
node,Узел
appoint,назначить
backrub,массаж
remedy,"Средство, лекарство"
intermediate,Средний
allowance,"Допуск, пособие, скидка"
contribution,"Вклад, взнос"
aspire,Стремиться
equitable,справедливый
mutual,"Взаимный, общий, обоюдный"
top notch,"Высший класс, высший сорт, высококачественный"
Splendid,"Великолепный, превосходный, замечательный"
robust,"Надежный, активный, энергичный, прочный"
diversity,"Разнообразие, многообразие"
notch,"Зарубка, ступенька вверх"
affinity,"Близость, сходство, направленность"
despite,"Несмотря на, вопреки"
nephew,Племянник
resilient,"Устойчивый, жизнерадостный"
Ubiquitous,"Вездесущий, повсеместный"
muddle,Путаница
pestilence,"Мор, чума"
wreak,"Вредить, срывать, нанести"
(Highest) bidder,"Покупатель, (самой высокой цене)"
resurrection,"Возрождение, воскрешение"
essential,"Необходимый, важный"
superfluous,"Излишний, избыточный"
treaty,договор
clue,"Подсказка, зацепка, ключ"
revelation,Откровение
reveal,Раскрыть
snarl,"Рычать, ворчать"
nag,"Пилить, придираться"
hesitate,"Колебаться, стесняться, сомневаться"
saucer,Блюдце
gobble,"Сожрать, пожирать"
disguise,"Маскировка, переодевание"
swift,"Оперативно, незамедлительно"
havoc,"Хаос, ущерб"
severe,Тяжелая форма
subtlety,"Тонкость, утонченность, деликатность"
dubious,Сомнительно
addendum,Дополнительная информация
tangentially,Косвенно
realm,"(в профессиональной) Сфере, области"
baffle,"Запутать, озадачить, препятствовать"
curtain,"Занавес, завесить"
harsh,"Суровый, жесткий"
odd,Необычный
carafe,Графин
palatable,Приятный на вкус
thorny,Проблемный
neat,"Чистый, опрятный"
bonkers,"Помешанный, чокнутый"
intervene,Вмешаться
frankly,"Честно говоря, откровенного говоря"
vague,"Расплывчатый, туманный"
hassle,"Хлопоты, суета"
sought,"Запрос, поиск, добивается"
quirk,Причуда
astonishment,Изумление
grouchy,"Ворчливый, ворчун"
council,совет
scholar,Ученый
Affairs,"Дела, по вопросам (гражданским)"
whom,Которых
dull,"скучный, унылый"
heel,"Пятка, каблук"
reluctant,"Отказываются, не хотят"
Adherence,"Приверженность ,соблюдение"
notorious,"Пресловутый, печально известный"
timetable,"Расписание, сроки"
disinter,"Эксгумировать, откапывать"
burial,"Захоронение, похороны"
palliative,"Паллиативный, полумера"
obstinate,"Упрямый, упертый"
derive,Выводить
amiable,Дружелюбный
panache,щеголь
contamination,"Загрязнение, отравление"
embarrassment,Смущение
Dour(-ness),Суровый (суровость)
Cunning ,хитрый
ruthless,"Безжалостный, беспощадный"
cheerful,"Веселый, жизнерадостный"
caution,"Осторожность, предупреждение"
miser,Скупой
garrulous,"Болтливый, говорливый"
admit,"Признать, признаваться"
fondness,Нежность
tenure,"Владение (землей), "
loan,"Кредит, займ, ссуда"
cherish,"Лелеять, хранить, заветный"
subjection,Подчиненность
worship,"Поклонение, вероисповедание"
deputy,"Заместитель, помощник"
stall,"Задержать, остановить"
adjourn,Приостановить (с возможностью возобновить)
attend,"Посещать, присутствовать"
peer,"Сверстник, коллега"
huddle,"Совещание, собрание"
heredity,Наследственный
absence,"Отсутствие, неучастие"
abolish,упразднить
committee,"Комитет, комиссия"
ordeal,Тяжкое испытание
pillar,"Основа, опора"
demote,"Понизить, разжаловать"
rival,"Конкурент, противник, соперничать"
Stead (-ily),Устойчиво (неуклонно(
fierce,"Ожесточенный, жестокий, яростный"
diligent,"Прилежный, усердный"
bargain,торговаться
embassy,посольство
whir,Треск жужжание
furl,Сворачивать
cure,"Лечение, вылечить "
foster,"Содействие, укрепление, поощрение"
remuneration,"Вознаграждение, ЗП"
assess," Оценить, анализировать"
suffuse,Наполнять
subtle,"Неуловимый, едва различительный"
mantle,"Мантия, покров"
chandelier,Люстра
stiff,Жесткий (не упругий металл)
dispute,"Спор, конфликт"
amalgamate,"Объединить, объединяться"
Vigor (-ous),"Энергия (энергичный, бодрый)"
urge,"Обратиться к, призывать"
cripple,"Калека, инвалид, покалечить"
labour,"Работа, труд, занятость"
parish,Приход в церкви
rumble,грохот
oath,"Присяга, клятва"
repeal,"Отменить, упразднить"
penalty,"Наказания, санкция"
utter,"Чрезвычайный, высказать"
insolent,"Наглый, дерзкий"
Prior,Предварительный
onboarding,Адаптация нового сотрудника
familiarize,Ознакомиться
County,"Округ, уезд"
climax,Кульминация
adorn,Украсить
gown,"Платье, халат, мантия"
solicitor,"Адвокат, юрист"
plead,"Умолять, простить"
conduct,"Проведение, провести, вести, организовать"
scrutiny,"Рассмотрение, анализ проверка"
inn,"Постоялый двор, гостиница"
snobbery,Снобизм
endow,"Обеспечить, наделять"
exempt,"Освобождать (от налогов), исключать"
advisable,"Целесообразный, желательно"
persecute,Подвергать гонениям
ties,"Узы, отношения, связь"
confer,"Предоставлять, даровать"
scorn,"Пренебрегать, презирать"
Quarter,Четверть
presume,"Пологать, считать"
poverty,"Нищета, бедность"
lack,отсутствие
inadequate,Недостаточный
confidence,Уверенность
crowded,Переполненый людьми
snug,Уютное место
lavish,"Щедрый, расточительный"
fling,Швырять
brash,"Нахальный, бестактный"
fringe,"Окаймлять, бахрома"
delinquency,Незначительные преступления
conscience,"Совесть, сознательность"
frail,"Хрупкий, хилый"
ailing,Болезненный
habit,Привычка
Thorough (Thoroughfare),"Тщательный (Магистраль, артерия, канал)"
crook,"Изгибаться, изгибать, мошенник"
attic,"Чердак, мансарда"
belligerent,Лицо участвующее в конфликте
dissolute,"Распущенный, распутный"
fascinating,"Увлекательный, очаровательный"
orphan,Сирота
immense,Огромный (Числа или степень)
vast,Большой объем
tribe,Племя
exaggerate,"Преувеличивать, завысить"
knack,Сноровка
loom,"Нависать, нависнуть"
glare,"Бликовать, ослепление, злой взгляд"
curl,"Завивать, завиток"
yearn,Тосковать 
anguish,мучение
insomnia,бессонница
prudence,благоразумие
behest,Повеление
prominent,"Видный, известный (человек)"
stride,шествовать
Succumb to,Поддаться чему-то
shrub,"Больше куста, но меньше дерева"
Scatter (-ed),"Разъезжаться, рассеять (рассеянный)"
gazing,Пристально вглядываться
oak,дуб
sigh,Вздыхать
nausea,Тошнота
strip,раздеть
bewilder,Вызвать недоумение
perplex,озадачивать
birch,берёза
accustom,"Приручить, привыкать"
ploy,"Уловка, ход"
aft,На корме
bragging,"Хвастовство, бахвальство"
vestige,Остаток
aversion,Сильное нежелание
debilitating,Изнурительный
potent,Сильнодействующий
thrill,Взволновать
kinsmen,Родня
endure,Существует
irrefutable,Неопровержимый
treachery,Вероломство
unfathomable,Неизмеримый
lush,пышный
presence,Присутствие
Gaunt,изможденный
swore,Клясться
tile,"Плитка, черепица "
disinterest,Незаинтересованность
deafening,"Оглушающий, оглушительный"
obese,"Тучный, толстый"
shrug,Пожать плечами
tide,прилив
stalwart,Человек крепкого здоровья
modicum,Капелька
jutting,"Выступающим, выступать, торчать"
raking,"Сгребать, загребать"
intensify,активизировать
frown,"Хмуриться, насупиться"
smirk,"Ухмылка, ухмыляться"
hedonism,гедонизм
indulge,"Потакать, предаваться"
gratification,Наслаждение от выполнения желания
usher,"Билетер, сопровождать"
carnal,плотский
stir,"Расшевелить, размешивать"
connoisseur,"Гурман, знаток"
ajar,"Приоткрыто, приоткрыта"
abdomen,Брюшная полость
tarnish,"Запятнать, исказить"
pious,благочестивый
secular,светский
sear,Прижигать
astonish,изумить
buff,"Любитель, поклонник"
abolition,упразднение
alcove,Ниша у здания
sprawl,разрастание
vigilant,бдительный
mutilation,Нанесение увечий
sable,Соболь
condolence,Соболезнование
abrupt,"Крайне неожиданный, резкий"
mumble,Бормотать
Perplex,озадачить
rigor,"Строгость, суровость, оцепенение"
scowl,Хмурый вид
wink,Подмигнуть
innate,"Врожденный, присущий"
wrist,Запястье
numb,"Оцепенелый, оцепеневший"
lump,комок
adamant,Непреклонный
feign,Прикидываться
craving,Страстное желание
fathom,Вникнуть
bestow,Даровать
allegedly,якобы
glower,Смотреть с негодованием
bane,"Бич, проклятие"
grasp,"Уловить (мысль), ухватить"
rattling,Дребезжание
savor,смаковать
surly,угрюмый
specimen,образец
modest,скромный
stymie,Загонять в угол
lofty,возвышенный
vow,"Обет, зарок"
snap,сорваться
dim,"Тусклый, смутный"
smear,"Мазок, размазать"
inextricably,неразрывно
grief,горе
inexorably,неумолимо
pang,Острая боль
hoax,Ложная тревога
remorse,раскаяние
blunder,Грубая ошибка
demise,Крах предприятия
sham,"Фиктивный, обман"
aisle,Проход между рядами сидений
tawny,смуглый
jostle,"Толкать, тряска"
surge,всплеск
cramp,Судорога
astound,"Поражать, удивлять"
startle,встрепенуться
earnest,уверенный
conundrum,Головоломка (трудная проблема/вопрос)
pry,"Выпытывать, совать нос"
arbitrary,произвольный
eerie,Странно-пугающий
contradict,противоречить
distort,исказить
contort,Исказить жестоко
groan,кряхтеть
wince,Сморщиться
groin,пах
mitigate,Смягчить
burden,"Бремя, обуза, ноша"
bailiwick,Сфера компетенции
draft,Проект
outline,набросок
misnomer,Неправильное употребление
scarcity,скудность
cope,Эффективно справиться с затруднением
abide,"Соблюдать, выполнять"
comply,"соответствовать, подчиняться"
tycoon,магнат
spur,подстегнуть
convey,"Перевозить, доставить"
forbid,Препятствовать
subsidiary,Вспомогательный
hitchhiker,автостопщик
chapel,Часовня
sublime,возвышенный
tint,"Оттенок, подкрашивать"
eligible,Иметь право что-то делать/получать
erupt,"Вспыхнуть, произойти"
bliss,блаженство
absent,отсутствовать
anxious,"Взволнованный, озабоченный (проблемой)"
lawn,лужайка
facilitate,облегчить
nifty,"Крайне хороший, эффективный"
adjacent,"Прилегающий (объект, участок)"
squat,Приземистый
gauntlet,"Рукавица, строй"
incite,подстрекать
chisel,"Зубило, долото"
mallet,киянка
deface,Испортить внешний вид чего-то
emasculate,Кастрировать
inlay,Инкрустация
feverishly,Лихорадочно
ramrod,шомпол
incendiary,Зажигательный (снаряд)
postpone,Отложить
grasp,"Понять, осознать"
drought,"Засуха, сушь"
struck,Пораженный
imperative,"Императив, настоятельная необходимость"
tackle,"Оборудование для спорта, блок, сделать опред усилия"
chore,"Рутина, обязанность, работа по дому"
gasp,"Удушье, Вздыхать, задыхаться"
misuse,"Неправильное использование, злоупотребление"
handyman,Разнорабочий
inclusion,Инклюзия
bias,Предвзятость
escalate,"Обострять, обостряться"
maternity,Материнство
halo,"Ореол, сияние"
pushover,"Пустяковое дело, легкая добыча"
merits,"Достоинства, заслуга"
droll,"Чудной, забавный"
feather,Перо
digress,Оставить тему
sly,"Хитрый, озорной"
warmth,"Сердечность, горячность"
crucial,"Важнейший, решающий"
perceive,"Воспринимать, понимать, чувствовать"
discourage,"Заставить потерять энтузиазм, препятствовать"
tacit,"Молчаливый, подразумеваемый"
layout,планировка
jest,"Шутка, шутливо говорить"
fuss,"Чрезмерный интерес, активность"
perception,Восприятие
crunch,"Кризис, хрустеть, раздавить"
promotion,"Продвижение, поощрение"
lean,"Опираться, наклонится, постный"
promptly,Оперативно
facet,"Грань, аспект, фасетка"
codify,кодифицировать
acquisition,"Приобретение, покупка"
spouse,"Супруга, жена"
derivative,"Деривативный, производный, вторичный"
sibling,Родной брат
airfare,"Цена авиабилета, авиаперелета"
allegation,Утверждение в совершении проступка без доказательств 
oblige,Обязать
sincerity,Искренность
condone,"Попустительство, смотреть сквозь пальцы"
rubble,Щебень
clergy,Духовенство
flatly,Сказать наотрез
assuredly,Несомненно
interim,Промежуточный
eligibility,приемлемость
detain,Задерживать
seethe,"Бурлить, кипеть (эмоционально)"
sweep,"Подмести, убираться, прочесать (район)"
hip,Бедро
incapacitate,Вывести из строя
incarcerate,Заключить (под стражу)
indecent,Непристойный
crude,"Сырой, незрелый"
elation,Приподнятое настроение
clash,"Столкновение, Столкнуться"
detergent,Моющее средство 
trustee,попечитель
cease,прекратить
violation,нарушение
reprimand,Выговор
entitle,право
rebuke,укор
convex,выпуклый
vault,сейф
cellar,"Погреб, подвал"
suitcase,чемодан
power unit,Блок питания
bugbear,Пугало
irritation,Раздражение
anxiety,Тревога
preliminary,предварительный
concise,"Краткий, сжатый"
laconic,Лаконичный
middleman,Посредник
ambiguity,Двусмысленность
adjacent,"Соседний, премыкающий"
nocturnal,Ночной (животное или образ жизни)
lust,"Похоть, вожделение"
trunk,"Основа, ствол дерева"
obligation,обязательство
struggle,"Борьба, бороться"
encourage,"Поощрять, стимулировать, побудить"
sentence,предложение
virtual,"Виртуальный, действительный"
distortion,"Перекос, деформация"
retrofit,переоснащение
hypocrite,Лицемер
alteration,"Переоборудование, модификация"
reciprocity,"Взаимность, обоюдность"
scarce,"Дефицитный, редкий"
deflect,"Отразить, отвести"
sincere,Искренний
gravitate,"Тяготеть, стремиться"
rumor,молва
soar,"Стремительно расти, парить"
tuxedo,Смокинг
turd,«Говнюк» 
pimp,сутенер
gratitude,thanks and appreciation
brass,gold-colored metal that is an alloy of zinc and copper
nozzle,spout at the end of a hose that water flows through
spout,"Носик, желоб"
spit,плевок
tatter,it's worn ragged (teared) 
stolid,expressionless
firefly,светлячок
porch,covered entrance in building
grin,"When you grin, you smile"
waft,air will gently carry this familiar aroma
faint,Something faint has no courage or vigor
buckle,belts and shoes had that
Pale," ""having little color."""
regard,the condition of being honored
apricot,downy yellow to rosy-colored fruit resembling a small peach
downy,very soft and fluffy
amber,yellowish to brownish translucent fossil resin
lit,provided with artificial light
insult,"treat, mention, or speak to rudely"
sleeve,cloth covering for the arm
garment,an article of clothing
pace,the relative speed of progress or change
dew,water that has condensed on a cool surface
irritable,Easily annoyed
clench,squeeze together tightly
tractable,easily managed (controlled or taught or molded)
babble,utter meaningless sounds
tallow,жир
creek,a natural stream of water smaller than a river
flare,a burst of light used to communicate or illuminate
shriek,sharp piercing cry
suffocation,having breathing stopped
tremble,a reflex motion caused by cold or fear or excitement
thimble,a small metal cap to protect the finger while sewing
violate,violate the law
ridge,a long narrow natural elevation or striation
adverb,наречие
adjective,прилагательное
preposition,part of speech that shows a relationship between words
wad,a small mass of soft material
parlor,room where people can sit and talk and relax
dandelion,одуванчик
conjure,summon into action or bring into existence (magic)
elbow,joint between the forearm and upper arm
hike,"walk a long way, as for pleasure or physical exercise"
aggravate,make worse
cram,зубрежка
jolt,move or cause to move with a sudden jerky motion
pawn,leave as a guarantee in return for money
blotch,an irregularly shaped spot
kennel,outbuilding that serves as a shelter for a dog
spank,a slap with the flat of the hand
swell,expand or grow larger
shin,leg between the knee and the ankle
asylum,a hospital for mentally incompetent
palm,"Ладонь, пальма"
depict,give a description of
traction,the friction between a body and the surface
mundane,"An ordinary, unexciting thing"
reside,live (in a certain place)
attain,reaching some mark of achievement
intermittent,stopping and starting at irregular intervals
alkaline,щелечной
limestone,известняк
chalk,мел
weigh,have a certain weight
gasp,sound made by a sharp inward breath
spiffy,Элегантный
insight,he clear understanding of a complex situation
mustache,hair between nose and mouth
fugitive,someone who is sought by law officers
malefactor,someone who has committed a crime
pitiless,without mercy or pity
pity,жалость
jury,жури
shoat,a young pig
holler,utter a sudden loud cry
buzzword,phrases that have become nonsense through endless repetition
deluge,body of water and its overflowing onto dry land
futile,producing no result or effect
posse,a temporary police force
busybody,a person who meddles in the affairs of others
meddle,intrude in other people's affairs or business
gamut,Гамма 
pursuit,chase or a quest for something
spatial,describes how objects fit together in space
venue,place where an event or meeting is happening
slack,reduce your speed or release tension
rookie,someone who's new at something
fidget,make little movements with your hands and feet
dishwater,water in which dishes and cooking utensils are washed
inferior,"quality isn't as good as another, comparable thing"
dread,fear of something bad happening
serenity,безмятежность
incinerator,Furnace for burning trash  
kindergarten,Детский сад
queer,"""unusual"" or ""peculiar,"" or sometimes ""suspicious."""
dyke,дамба
itch ,Жажда
syllable,слог
moan,The low sound you make when you're in pain
rhyme,рифма
dime,United States coin worth one tenth of a dollar
plea,humble request for help from someone in authority
contempt,an extreme lack of respect
substitute,Something or someone that takes the place of another
din,шум
bash,to hit something hard
disperse,рассеиваться
blush,turn red because you are embarrassed
wise,someone who has experience and a deep understanding
tadpole,baby frog
tummy,stomach
dreary,depressing or lifeless
cite,цитировать
broom,подметать
Curb,"Сдерживать, обочина"
Skim,remove from the surface. slip
Jittered,small irregular movement
Stroll,leisurely walk
Daffodil,Нарцисс
mop,tool for cleaning a floor
vomit,рвота
procaine,прокаин
valise,small suitcase
hay,сено
loft,Чердак 
parsley,петрушка
liquorice,Лакричник (растение)
perspiration,Потение
mow,cut with a blade or mower
fodder,cheap food for livestock
sack,уволтить
feeble,lacking strength
rubbish,synonym for garbage or trash
troop,squad or team of soldiers
toe,Foot fingers
coniferous,хвойный
backdrop,задник
prune,Чернослив
commendation,an official award usually given as formal public statement
praise,expression of approval
Belief,Believe but noun
